Namespace,Key,English Text,Spanish,French,German,Chinese,Hindi,Urdu,Arabic,Japanese,Korean,Russian
account,privacy Data,Privacy & Data,Privacidad y datos,Confidentialité et données,Datenschutz & Daten,?????,???????? ?? ????,????????? ??? ????,???????? ?????????,??????????,?? ?? ?? ? ???,?????????????????? ? ??????
account,yourProfileRoleDoes,Your profile role does not require additional coverage settings.,Su rol de perfil no requiere configuraciones de cobertura adicionales.,Le rôle de votre profil ne nécessite pas de paramètres de couverture supplémentaires.,Für Ihre Profilrolle sind keine zusätzlichen Abdeckungseinstellungen erforderlich.,?????????????????????,???? ????????? ?????? ?? ??? ???????? ????? ???????? ?? ???????? ???? ??.,?? ?? ??????? ??? ?? ????? ????? ?? ??????? ?? ????? ???? ???,?? ????? ??? ??? ??????? ??????? ????? ??????.,?????? ?????????????????????????,??? ???? ?? ?? ?? ??? ???? ????.,??? ???? ??????? ?? ????????? ?????????????? ????????? ????????.
account,available,Available,Disponible,Disponible,Verfügbar,??,????,??? ???,?????,?????,??? ? ??,?????????
account,unavailable,Unavailable,Indisponible,Indisponible,Nicht verfügbar,?????,????????,??????,??? ?????,????,???,???????????
account,blocked,Blocked,Bloqueado,Bloqué,Gesperrt,??,???????,????,?????,????,??,?????????????
account,requests,Requests,Solicitudes,Requêtes,Aufforderungen,??,??????,?????????,???????,??,??,???????
account,hold,Hold,Sostener,Tenir,Halten,?,???,?????,???,??,??,???????
account,dragToCreate,Drag to create:,Arrastre para crear:,Faites glisser pour créer :,"Ziehen Sie, um Folgendes zu erstellen:",??????,????? ?? ??? ??????:,????? ???? ?? ??? ???????:,???? ??????:,????????????,????? ??? ?????.,"??????????, ????? ???????:"
account,availableDates,Available dates,Fechas disponibles,Dates disponibles,Verfügbare Termine,????,?????? ???????,?????? ???????,???????? ???????,???????,?? ??? ??,????????? ????
account,unavailableDates,Unavailable dates,Fechas no disponibles,Dates indisponibles,Nicht verfügbare Daten,??????,???????? ???????,??? ?????? ???????,???????? ??? ????????,???????????,?? ???? ??,??????????? ????
account,setAvailability,Set Availability:,Establecer disponibilidad:,Disponibilité de l’ensemble :,Verfügbarkeit einstellen:,??????,???????? ??? ????:,??????? ?? ???? ????:,????? ??????:,????????:,??? ??:,??????? ???????:
account,bookingRequest,Booking Request,Solicitud de reserva,Demande de réservation,Buchungsanfrage,????,?????? ??????,???? ?? ???????,??? ???,???????,?? ??,?????? ?? ????????????
account,hasRequests,Has Requests,Tiene solicitudes,A des demandes,Hat Anfragen,???,?????? ???,????????? ???,???? ?????,????,??? ????,????? ???????
account,hasHolds,Has Holds,Tiene retenciones,A des prises,Hat Holds,???,???? ???? ??,?? ?? ???? ??,???? ????,??????,?? ??,????? ?????????
account,availabilityHolds,Availability Holds,Retenciones de disponibilidad,Disponibilités en attente,Verfügbarkeitssperren,?????,???????? ???? ???? ??,??????? ?????,?????? ?????????,??????,??? ??,????????? ???????????
account,request,Request:,Pedir:,Demander:,Bitten:,???,??????:,???:,???:,???,??:,???????:
account,quickSelect,Quick Select:,Selección rápida:,Sélection rapide :,Schnellauswahl:,?????,?????? ???:,???? ??????:,???????? ??????:,??????:,?? ??:,??????? ?????:
account,allTimesAvailableFor,All times available for this date,Todos los horarios disponibles para esta fecha,Toutes les heures sont disponibles pour cette date,Alle Zeiten für dieses Datum verfügbar,??????????,?? ???? ?? ??? ??? ??? ?????? ???,?? ????? ?? ??? ?????? ???? ?????,???? ??????? ??????? ???? ???????,????????????????,? ??? ?? ?? ?? ??,"??? ?????, ????????? ?? ??? ????"
account,blockSpecificTimesWhen,Block specific times when you are unavailable,Bloquear momentos específicos en los que no está disponible,Bloquer des moments précis où vous n’êtes pas disponible,"Blockieren Sie bestimmte Zeiten, zu denen Sie nicht verfügbar sind",??????????,???????? ???? ?? ??????? ??? ?? ????? ????,????? ????? ?? ????? ???? ?? ?? ?????? ?? ???,??? ????? ????? ????? ?? ???? ?????,???????????????,?? ? ?? ?? ??,"?????????? ???????????? ?????, ????? ?? ??????????"
account,howItWorks,How it works:,Cómo funciona:,Comment ça marche :,So funktioniert's:,??????,?? ??? ??? ?????? ???? ??:,?? ???? ??? ???? ??:,??? ????:,???:,?? ??:,??? ??? ????????:
account,byDefaultYouAre,"By default, you are available all day","De forma predeterminada, está disponible todo el día","Par défaut, vous êtes disponible toute la journée",Standardmäßig sind Sie den ganzen Tag über verfügbar,????????????,"???????? ??? ??, ?? ???? ??? ?????? ???? ???","???? ?? ?? ??? ??? ??? ?? ???? ?? ?????? ???","???? ??????? ? ??? ???? ???? ?????",?????????????????????,????? ?? ?? ??? ? ????,?? ????????? ?? ???????? ???? ????
account,blockSpecificTimesWhen2,Block specific times when you are NOT available,Bloquea horarios específicos cuando NO estás disponible,Bloquez des heures spécifiques lorsque vous n’êtes PAS disponible,"Blockieren Sie bestimmte Zeiten, zu denen Sie NICHT verfügbar sind",??????????,?? ?? ?????? ? ??? ?? ??????? ??? ?? ????? ????,????? ????? ?? ???? ???? ?? ?? ?????? ?? ???,??? ????? ????? ????? ?? ???? ?????,???????????????????,?? ??? ?? ?? ??,"?????????? ???????????? ?????, ????? ?? ??????????"
account,agenciesAndDmcsCan,Agencies and DMCs can only request holds during your available times,Las agencias y los DMC solo pueden solicitar retenciones durante sus horarios disponibles,Les agences et les DMC ne peuvent demander des réservations que pendant vos heures disponibles,Agenturen und DMCs können nur während Ihrer verfügbaren Zeiten Holds anfordern,????? DMC ??????????????,????????? ?? ?????? ???? ???? ?????? ??? ?? ????? ?? ????? ?? ?????? ?? ???? ???,???????? ??? ?? ??? ??? ??? ?? ?? ?????? ????? ?? ????? ???? ?? ??????? ?? ???? ???,???? ???????? ???????? ??????? ??? ??????? ??? ???? ??????? ??????? ????,????DMC??????????????????????,??? ? DMC? ?? ??? ?? ???? ??? ??? ? ????,????????? ? DMC ????? ??????????? ????????? ?????? ? ??????? ??? ??? ?????
account,unblockATimeSlot,Unblock a time slot to make yourself available again,Desbloquea una franja horaria para volver a estar disponible,Débloquez un créneau horaire pour vous rendre à nouveau disponible,"Entsperren Sie ein Zeitfenster, um sich wieder verfügbar zu machen",???????????????,???? ?? ?? ??? ?? ?????? ????? ?? ??? ?? ??? ????? ?? ??????? ????,???? ?? ?? ?????? ?????? ???? ????? ???? ???? ?? ??? ????? ????,?? ?????? ??? ???? ????? ???? ???? ????? ??? ????,???????????????????????,??? ??? ???? ?? ??? ? ??? ???.,"????????????? ????????? ????????, ????? ????? ????? ?????????"
account,tellUsAboutYourself,Tell us about yourself...,Cuéntanos sobre ti...,Parlez-nous de vous...,Erzählen Sie uns etwas über sich...,???????......,???? ???? ???? ??? ?????...,???? ???? ???? ??? ?????? ...,?????? ?? ???? ...,????????????????...,??? ?? ??? ???...,?????????? ??? ? ????...
account,viewFile,View file,Ver ficha,Voir le fichier,Datei anzeigen,????,????? ?????,???? ??????,??? ?????,???????,?? ??,?????????? ????
account,basicInformation,Basic Information,Información básica,Informations de base,Grundlegende Informationen,????,???????? ???????,?????? ???????[?????],??????? ??????,????,?? ??,???????? ??????????
account,businessNameFullName,Business Name / Full Name,Nombre de la empresa / Nombre completo,Nom de l’entreprise / Nom complet,Firmenname / Vollständiger Name,????/??,??????? ?? ???/???? ???,??????? ?? ??? / ???? ???,??? ????? / ????? ??????,??/??,??? ?? / ??,????????? ???????????? / ???
account,yourProfessionalName,Your professional name,Tu nombre profesional,Votre nom professionnel,Ihr beruflicher Name,??????,???? ?????? ???,?? ?? ???? ????? ???,???? ??????,???????,??? ?? ??,???? ???????????????? ???
account,yearsOfGuidingExperience,Years of Guiding Experience,Años de experiencia como guía,Années d’expérience en tant que guide,Jahre Erfahrung als Guide,??????,?????? ?? ?????????? ?????,????? ?? ????? ?????,????? ?? ?????? ?????????,???????,???? ?? ??,??????????? ???? ?????? ?????
account,credentialsLicensing,Credentials & Licensing,Credenciales y licencias,Titres de compétences et licences,Referenzen & Lizenzierung,?????,??? ?? ??????????,????? ??? ????????,????? ???????? ????????,??????????,?? ?? ? ????,?????????? ? ??????????????
account,licenseNumber,License number,Número de licencia,Numéro de licence,Lizenznummer,????,??????? ??????,?????? ????,??? ???????,???????,?? ??,????? ????????
account,enterNaIfNot,Enter N/A if not available,Ingrese N/A si no está disponible,Entrez N/A si non disponible,"Geben Sie N/A ein, falls nicht verfügbar",????????? N/A,?????? ? ???? ?? N/A ???? ????,??? ?????? ?? ?? ?? N/A ??? ????,???? ??? ???? ??? ?? ??? ?????,??????????N/A???????,??? ? ?? ?? N/A? ?????.,"??????? ?/?, ???? ??? ???????????"
account,issuingAuthority,Issuing authority,Autoridad emisora,Autorité émettrice,Ausstellende Behörde,????,???? ???? ???? ?????????,???? ???? ???? ??????,??? ???????,????,?? ??,?????????
account,uploadOfficialGuideLicense,Upload official guide license,Cargar licencia de guía oficial,Télécharger la licence de guide officiel,Offizielle Guide-Lizenz hochladen,?????????,???????? ???? ??????? ????? ????,????? ????? ?????? ?? ??? ????,????? ????? ?????? ??????,???????????????????,?? ??? ???? ???,????????? ??????????? ???????? ???????????
account,uploadIdPassportCopy,Upload ID / passport copy,Cargar copia de identificación / pasaporte,Télécharger une copie de la pièce d’identité / passeport,Ausweis-/Passkopie hochladen,?????/?????,????/???????? ???? ????? ????,?????? ???? / ??????? ?? ???? ?? ??? ????,????? ???? ?? ????? ?????? / ???? ?????,?????/??????????????????,???/?? ?? ???,????????? ID / ????? ????????
account,specializationsExpertise,Specializations & Expertise,Especializaciones y experiencia,Spécialisations et expertises,Spezialisierungen & Expertise,?????,?????????? ?? ??????????,????? ??? ?????,???????? ????????,?????????,??? ? ???,????????????? ? ????
account,languagesSpoken,Languages spoken,Idiomas hablados,Langues parlées,Gesprochene Sprachen,?????,???? ???? ???? ??????,???? ???? ???? ??????,?????? ???? ????? ???,????????,?? ??,???????? ???????
account,selectEveryLanguageYou,Select every language you are comfortable guiding in.,Seleccione todos los idiomas en los que se sienta cómodo guiando.,Sélectionnez toutes les langues dans lesquelles vous êtes à l’aise pour guider.,"Wählen Sie jede Sprache aus, in der Sie sich wohl fühlen.",?????????????,?? ?? ???? ?? ??? ???? ?????? ?? ?????????? ???? ??? ??? ????,?? ???? ???? ?? ?????? ???? ?? ??? ?? ??????? ???? ??? ???? ????? ???? ????,??? ?? ??? ???? ??????? ?? ??????? ???.,???????????????????????,?? ??? ? ? ?? ?? ??? ??????.,"???????? ????? ????, ?? ??????? ??? ?????? ???????????????."
account,tourSpecializations,Tour specializations,Especializaciones de tours,Spécialisations de visite,Spezialisierungen der Tour,????,?????? ??????????,??? ?? ????,?????? ??????? ????????,????????,?? ?? ??,????????????? ????
account,regionsDestinationsLicensedTo,Regions / destinations licensed to operate,Regiones / destinos con licencia para operar,Régions/destinations autorisées à opérer,"Regionen/Destinationen, die für den Betrieb lizenziert sind",???????/???,??????? ???? ?? ??? ??????? ??????? ???????/??????,??? ???? ?? ??? ?????? ????? ????? / ??????,??????? / ??????? ?????? ??? ??????,??????????/???,?? ??? ?? ??/???,"??????? / ???????????, ??????????????? ??? ????????????? ????????????"
account,hanoi10hoChiMinhCity10halong,Hanoi&#10;Ho Chi Minh City&#10;Halong Bay,Hanoi Ciudad Ho Chi Minh Bahía de Halong,Hanoi Ho Chi Minh-Ville Baie d’Halong,Hanoi Ho-Chi-Minh-Stadt Halong-Bucht,?????????,???? ?? ?? ????? ???? ?????? ??,????? ?? ?? ??? ??? ?????? ??,????? ?? ??? ??? ????? ???? ??????,??? ????? ????,??? ??? ????,????? ??????? ?????? ???
account,profilePortfolio,Profile & Portfolio,Perfil y portafolio,Profil et portefeuille,Profil & Portfolio,???????,???????? ?? ???????????,??????? ??? ???? ?????,????? ?????? ????????,??????&???????,??? ? ?????,??????? ? ?????????
account,profilePhoto,Profile photo,Foto de perfil,Photo de profil,Profilfoto,??????,????????? ?????,??????? ????,???? ????? ??????,????????,??? ??,???? ???????
account,shortIntroduction,Short introduction,Breve introducción,Brève introduction,Kurze Einführung,????,????????? ?????,????? ?????,????? ?????,?????,?? ??,??????? ????????
